#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-10 16:39:13.676 0.011851 0.000073 0 2771 /6d2876fc-87fc-4a2a-a801-c53f26345567 200 GET
2017-12-10 16:39:13.840 0.009363 0.002294 0 301171 /7a31240c-a6e5-4f0f-b53b-2c8146db5847 200 GET
2017-12-10 16:39:13.851 0.004205 0.001983 0 31330 /3f07ccb6-d765-4ed2-9746-826fa365ab47 200 GET
2017-12-10 16:39:13.850 0.004005 0.003515 0 301292 /8318b57f-c1fa-4587-8dbd-2b78cee5d20b 200 GET
2017-12-10 16:39:13.852 0.009310 0.000066 0 3339 /2dbea38f-9cff-46a3-a72b-0257ea4342e9 200 GET
2017-12-10 16:39:14.072 0.001388 0.000572 0 33840 /53247334-2635-41ff-abb6-f3ea46363607 200 GET
2017-12-10 16:39:14.114 0.003541 0.000149 0 34204 /ed0a6265-cb09-428f-985e-0d3ac628bc44 200 GET
2017-12-10 16:39:14.280 0.001474 0.000245 0 34281 /f6287fa6-fa1d-48cf-99fd-6efa07c99bf9 200 GET
2017-12-10 16:39:14.511 0.001514 0.000251 0 38086 /256fcd52-8220-4518-8bc1-67cae4ba1e4f 200 GET
2017-12-10 16:39:14.533 0.001260 0.000099 0 3916 /507f7977-bbb8-4a4c-bb99-993d6ad07554 200 GET
2017-12-10 16:39:14.676 0.014669 0.004004 0 403572 /03dd4e66-1bc8-44a5-bfdc-78015e480ed7 200 GET
2017-12-10 16:39:14.841 0.015641 0.000109 0 4285 /1bd33e61-7d1b-425e-ab69-f4c7bcb9aa51 200 GET
2017-12-10 16:39:14.851 0.012920 0.000064 0 4483 /dbe9c8af-c56f-46a3-8b37-dde2f1305bfc 200 GET
2017-12-10 16:39:14.852 0.017790 0.000163 0 4746 /377dcd51-0d02-4ba9-9c6e-0dd913c4fa36 200 GET
2017-12-10 16:39:14.851 0.014389 0.082011 0 4642783 /2d6bf0ab-572b-433d-acaf-368f73aa5d95 200 GET
2017-12-10 16:39:15.072 0.001301 0.000318 0 49710 /70f06d63-bcd8-4ec5-adf1-68f5603032f1 200 GET
2017-12-10 16:39:15.114 0.006293 0.000118 0 4977 /d782c7cf-8cac-4480-b5c6-31eec51fec88 200 GET
2017-12-10 16:39:15.280 0.017352 0.004678 0 508529 /5aeadf74-8594-4641-9190-e9886bda6c73 200 GET
2017-12-10 16:39:15.511 0.018495 0.000178 0 51586 /7a3d5c3c-d377-4c08-ad35-7e25c2385540 200 GET
2017-12-10 16:39:15.533 0.006977 0.000363 0 52357 /e8a5545d-9657-40ed-b11f-f4ce70e0081b 200 GET
2017-12-10 16:39:15.676 0.000882 0.000028 0 5249 /6836ddbc-37a7-4248-83bc-e507b2423ccc 200 GET
2017-12-10 16:39:15.840 0.010482 0.000043 0 5314 /29bf911f-b41e-4b3a-bba9-0178e68571e8 200 GET
2017-12-10 16:39:15.850 0.010716 0.000507 0 54199 /bec3ae36-6ce9-439d-88f3-05aea8905db8 200 GET
2017-12-10 16:39:15.851 0.017831 0.000080 0 5517 /bf8732d0-1ddf-498e-9dbb-b50a89168fc4 200 GET
2017-12-10 16:39:15.852 0.019685 0.000427 0 56447 /da7e292d-6435-4ada-90e8-410d3829c3b1 200 GET
2017-12-10 16:39:16.072 0.007914 0.000068 0 5657 /6aa5988b-e45d-438c-8890-19ef561d3ad1 200 GET
2017-12-10 16:39:16.114 0.001091 0.000059 0 5661 /d2570348-e8f9-4beb-a75e-cecbe4255cc4 200 GET
2017-12-10 16:39:16.280 0.005885 0.000078 0 5912 /bee0f839-3e73-4e81-a647-4703ce2d67a0 200 GET
2017-12-10 16:39:16.511 0.013521 0.000336 0 59578 /40cc25ad-72b5-4054-a1f6-964e42ab5cdf 200 GET
2017-12-10 16:39:16.533 0.013103 0.000378 0 61924 /a70ea58b-73ef-439a-bb8a-a7bd07901d5b 200 GET
2017-12-10 16:39:16.676 0.007545 0.000077 0 6371 /c4d693fa-e30b-4b25-b92b-7abc591035e2 200 GET
2017-12-10 16:39:16.841 0.001148 0.000092 0 6408 /4c09bdd4-035f-4dea-b06c-6951a89a550c 200 GET
