#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2018-01-19 16:17:56.241 0.00237 0.000071 0 1024 download/00003003-64a4-4e25-ac2e-6c412bbf494d 200 GET
2018-01-19 16:17:56.264 0.012072 0.00012 0 8478 download/00034915-a2bd-4280-8356-b1f009881fc5 200 GET
2018-01-19 16:17:56.406 0.00077 0.00005 0 1024 download/00003003-64a4-4e25-ac2e-6c412bbf494d 200 GET
2018-01-19 16:17:56.571 0.000958 0.000251 0 8478 download/00034915-a2bd-4280-8356-b1f009881fc5 200 GET
2018-01-19 16:17:56.581 0.000642 0.000026 0 1024 download/00003003-64a4-4e25-ac2e-6c412bbf494d 200 GET
2018-01-19 16:17:56.581 0.001048 0.000204 0 8478 download/00034915-a2bd-4280-8356-b1f009881fc5 200 GET
2018-01-19 16:17:56.582 0.000572 0.000095 0 12530 download/15b00a26-9ba3-4649-8477-c48bcab90dc7 200 GET
2018-01-19 16:17:56.802 0.000771 0.000261 0 178 download/8318b57f-c1fa-4587-8dbd-2b78cee5d20b 404 GET
2018-01-19 16:17:57.241 0.012687 0.001279 0 100820 download/3d6f097e-a72b-4b3b-8f1b-28dd267264e0 200 GET
