#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-28 15:27:54.266 0.010043 0.000005 0 0 images/00009b19-9d88-41bd-82c9-02fc23416f27 200 GET
2017-12-28 15:27:54.486 0.000418 0.000004 0 0 images/0000ac76-f55e-4a16-8740-21e76225e80b 200 GET
2017-12-28 15:27:54.528 0.000733 0.000005 0 0 images/0000b322-9086-4588-9cdd-0e1e4e83f80f 200 GET
2017-12-28 15:27:54.695 0.000726 0.000004 0 0 images/00008b68-cd7d-4e2d-a45f-9ab8c2f10e5f 200 GET
2017-12-28 15:27:54.925 0.000498 0.000005 0 0 images/0000b322-9833-4ac2-b789-246b6dd87642 200 GET
2017-12-28 15:27:54.948 0.000670 0.000005 0 0 images/0000bcf9-d211-4fc9-91ab-20a5fb03cd4c 200 GET
2017-12-28 15:27:55.091 0.000713 0.000006 0 0 images/0000dfa9-0414-4a11-a638-30f68dab6395 200 GET
2017-12-28 15:27:55.255 0.000463 0.000004 0 0 images/0000c20b-ba98-4202-96d5-265de0204c21 200 GET
2017-12-28 15:27:55.265 0.000398 0.000003 0 0 images/0000e57b-063f-44ac-8e19-038e760974e6 200 GET
2017-12-28 15:27:55.265 0.000620 0.000004 0 0 images/0000db0b-6634-43ce-96d1-0adb7a5a4912 200 GET
2017-12-28 15:27:55.266 0.009501 0.000005 0 0 images/0000f063-0dfb-41d5-bbe4-0cec94936809 200 GET
2017-12-28 15:27:55.486 0.000462 0.000004 0 0 images/0000c484-c3fc-4117-ae30-ee8f37147c75 200 GET
2017-12-28 15:27:55.528 0.000741 0.000006 0 0 images/0000fd74-a39d-4b51-b789-13a869a33c71 200 GET
2017-12-28 15:27:55.695 0.000819 0.000006 0 0 images/0000f3f2-38f4-4a91-837c-1215cd28f719 200 GET
2017-12-28 15:27:55.926 0.000655 0.000004 0 0 images/00010340-ba4c-437f-9b85-014d624ed677 200 GET
