#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2017-12-16 16:42:41.886 3.339817 0.000160 0 96844 blackberry/appworld/javelin/Kobo.cod 200 GET
2017-12-16 16:42:42.886 3.034766 0.000083 0 2102 blackberry/appworld/javelin/Kobo.jad 200 GET
2017-12-16 16:42:43.886 3.166165 0.000055 0 235 blackberry/appworld/javelin/buildInfo.xml 200 GET
2017-12-16 16:42:44.886 3.766476 0.000223 0 64824 blackberry/appworld/pearl/shortcovers-9.cod 200 GET
2017-12-16 16:42:46.886 4.192567 0.000035 0 2381 blackberry/appworld/pearl/shortcovers.jad 200 GET
2017-12-16 16:42:52.886 4.927291 0.000097 0 68380 blackberry/appworld/tour/shortcovers-7.cod 200 GET
2017-12-16 16:42:56.886 2.620898 0.000078 0 2367 blackberry/appworld/tour/shortcovers.jad 200 GET
2017-12-16 16:42:55.886 4.191053 0.000141 0 86084 blackberry/appworld/tour/shortcovers.cod 200 GET
2017-12-16 16:42:58.886 2.290550 0.000261 0 71888 blackberry/archive/1.3.5/8xxx/shortcovers-2.cod 200 GET
2017-12-16 16:42:51.886 9.935609 0.005514 0 68704 blackberry/appworld/tour/Kobo-2.cod 200 GET
2017-12-16 16:42:45.886 16.206791 0.000250 0 93940 blackberry/appworld/pearl/shortcovers.cod 200 GET
2017-12-16 16:42:54.887 9.939159 0.000172 0 64068 blackberry/appworld/tour/shortcovers-9.cod 200 GET
2017-12-16 16:42:49.886 16.465573 0.000078 0 58376 blackberry/appworld/tour/Kobo-11.cod 200 GET
2017-12-16 16:42:57.886 8.857936 0.000119 0 65800 blackberry/archive/1.3.5/8xxx/shortcovers-1.cod 200 GET
2017-12-16 16:42:48.886 18.099555 0.000161 0 57824 blackberry/appworld/tour/Kobo-10.cod 200 GET
2017-12-16 16:42:47.886 19.520940 0.000361 0 83580 blackberry/appworld/tour/Kobo-1.cod 200 GET
2017-12-16 16:42:50.886 16.663822 0.000060 0 55452 blackberry/appworld/tour/Kobo-12.cod 200 GET
2017-12-16 16:43:01.886 5.721002 0.000116 0 55856 blackberry/bold/AngusRobertson-10.cod 200 GET
2017-12-16 16:43:00.886 6.827183 0.000199 0 77908 blackberry/archive/1.3.5/8xxx/shortcovers-4.cod 200 GET
2017-12-16 16:43:02.886 5.525399 0.000328 0 51940 blackberry/bold/AngusRobertson-11.cod 200 GET
2017-12-16 16:43:07.886 3.315808 0.000127 0 58476 blackberry/bold/BordersUS-10.cod 200 GET
2017-12-16 16:43:03.886 8.763101 0.000157 0 94284 blackberry/bold/AngusRobertson-2.cod 200 GET
2017-12-16 16:42:59.886 12.777229 0.001503 0 77616 blackberry/archive/1.3.5/8xxx/shortcovers-3.cod 200 GET
2017-12-16 16:43:05.886 7.878535 0.000031 0 2462 blackberry/bold/BordersAU.jad 200 GET
2017-12-16 16:43:06.886 7.439125 0.000130 0 88540 blackberry/bold/BordersUS-1.cod 200 GET
2017-12-16 16:41:33.886 101.125198 0.015952 0 5428962 android/bell/Kobo.apk 200 GET
2017-12-16 16:42:53.886 21.616279 0.000183 0 67864 blackberry/appworld/tour/shortcovers-8.cod 200 GET
2017-12-16 16:43:10.886 5.577147 0.000185 0 66896 blackberry/bold/BordersUS-3.cod 200 GET
2017-12-16 16:43:08.886 9.156100 0.000142 0 52528 blackberry/bold/BordersUS-11.cod 200 GET
2017-12-16 16:43:12.886 5.844747 0.000209 0 94024 blackberry/curve/AngusRobertson-4.cod 200 GET
2017-12-16 16:43:09.886 10.104858 0.000225 0 68312 blackberry/bold/BordersUS-2.cod 200 GET
2017-12-16 16:43:16.886 3.348486 0.000079 0 57800 blackberry/curve/AngusRobertson-8.cod 200 GET
2017-12-16 16:43:18.886 2.756091 0.000152 0 93924 blackberry/curve/shortcovers.cod 200 GET
2017-12-16 16:43:20.886 3.078320 0.000660 0 81468 blackberry/custom0423/Kobo-1.cod 200 GET
2017-12-16 16:43:19.886 5.222208 0.000070 0 2363 blackberry/curve/shortcovers.jad 200 GET
2017-12-16 16:43:17.886 9.781974 0.000191 0 59544 blackberry/curve/AngusRobertson-9.cod 200 GET
2017-12-16 16:43:21.886 5.872030 0.000083 0 63336 blackberry/custom0423/Kobo-10.cod 200 GET
2017-12-16 16:43:14.886 13.004809 0.000158 0 66664 blackberry/curve/AngusRobertson-6.cod 200 GET
2017-12-16 16:43:25.886 2.250636 0.000037 0 1947 blackberry/custom0423/Kobo.jad 200 GET
2017-12-16 16:43:04.886 23.268276 0.000286 0 54448 blackberry/bold/AngusRobertson-3.cod 200 GET
2017-12-16 16:43:15.886 13.953163 0.000333 0 58624 blackberry/curve/AngusRobertson-7.cod 200 GET
2017-12-16 16:43:11.886 18.859328 0.000127 0 93944 blackberry/bold/BordersUS-4.cod 200 GET
2017-12-16 16:43:27.886 3.425230 0.000099 0 58368 blackberry/javelin/Kobo-10.cod 200 GET
2017-12-16 16:43:13.886 17.786335 0.000137 0 95384 blackberry/curve/AngusRobertson-5.cod 200 GET
2017-12-16 16:43:24.886 8.185957 0.000129 0 90060 blackberry/custom0423/Kobo-4.cod 200 GET
2017-12-16 16:43:22.886 11.260674 0.000184 0 55456 blackberry/custom0423/Kobo-2.cod 200 GET
2017-12-16 16:43:29.886 4.837120 0.000151 0 67340 blackberry/javelin/Kobo-2.cod 200 GET
2017-12-16 16:43:30.886 5.896178 0.000071 0 53372 blackberry/javelin/Kobo-3.cod 200 GET
2017-12-16 16:43:31.886 7.105872 0.000186 0 92168 blackberry/javelin/Kobo-4.cod 200 GET
2017-12-16 16:43:35.886 3.564257 0.000039 0 2609 blackberry/playbook/locale/es_ES/resources/offer.json 200 GET
2017-12-16 16:43:28.886 10.583193 0.004125 0 55444 blackberry/javelin/Kobo-11.cod 200 GET
2017-12-16 16:43:36.886 2.609422 0.000028 0 107 blackberry/playbook/locale/es_ES/update.xml 200 GET
2017-12-16 16:43:26.886 13.870328 0.000175 0 89664 blackberry/javelin/Kobo-1.cod 200 GET
2017-12-16 16:43:33.886 7.017510 0.000067 0 55988 blackberry/pearl/Kobo-6.cod 200 GET
2017-12-16 16:43:38.886 2.529458 0.000021 0 107 blackberry/playbook/locale/fr_FR/update.xml 200 GET
2017-12-16 16:43:23.886 18.064535 0.000191 0 87384 blackberry/custom0423/Kobo-3.cod 200 GET
2017-12-16 16:43:39.886 2.403813 0.000106 0 2609 blackberry/playbook/locale/it_IT/resources/offer.json 200 GET
2017-12-16 16:43:32.886 9.447555 0.000063 0 21272 blackberry/pearl/Kobo-5.cod 200 GET
2017-12-16 16:43:37.886 5.674784 0.000052 0 2609 blackberry/playbook/locale/fr_FR/resources/offer.json 200 GET
2017-12-16 16:43:40.886 2.790756 0.000060 0 107 blackberry/playbook/locale/it_IT/update.xml 200 GET
2017-12-16 16:43:42.886 2.265955 0.000045 0 107 blackberry/playbook/locale/nl_NL/update.xml 200 GET
2017-12-16 16:43:41.886 4.019075 0.000054 0 2609 blackberry/playbook/locale/nl_NL/resources/offer.json 200 GET
2017-12-16 16:41:47.886 123.076318 0.044533 0 22471301 apollohd/update-ota146-ota234.zip 200 GET
2017-12-16 16:43:47.886 3.595889 0.000076 0 2439 blackberry/storm/AngusRobertson.jad 200 GET
2017-12-16 16:43:44.886 8.502057 0.000088 0 57816 blackberry/storm/AngusRobertson-8.cod 200 GET
2017-12-16 16:43:34.886 18.951201 0.000212 0 59020 blackberry/pearl/Kobo-7.cod 200 GET
2017-12-16 16:43:45.886 9.940988 0.000079 0 57368 blackberry/storm/AngusRobertson-9.cod 200 GET
2017-12-16 16:43:51.886 5.030561 0.000084 0 54448 blackberry/tour/AngusRobertson-3.cod 200 GET
2017-12-16 16:43:55.886 2.349156 0.000043 0 2367 blackberry/tour/shortcovers.jad 200 GET
2017-12-16 16:43:43.886 15.079471 0.000099 0 58644 blackberry/storm/AngusRobertson-7.cod 200 GET
2017-12-16 16:43:52.886 6.247417 0.005813 0 94024 blackberry/tour/AngusRobertson-4.cod 200 GET
2017-12-16 16:43:57.886 3.674087 0.000124 0 59512 blackberry/triage/421/Kobo-2.cod 200 GET
2017-12-16 16:43:59.886 2.775409 0.000074 0 53332 blackberry/triage/Tour/Kobo-9.cod 200 GET
2017-12-16 16:43:46.886 16.289306 0.000362 0 83272 blackberry/storm/AngusRobertson.cod 200 GET
2017-12-16 16:43:48.886 14.327908 0.000108 0 90012 blackberry/storm/BordersAU-1.cod 200 GET
2017-12-16 16:43:58.886 4.680096 0.000103 0 58216 blackberry/triage/Tour/Kobo-8.cod 200 GET
2017-12-16 16:43:53.886 10.340322 0.000135 0 95384 blackberry/tour/AngusRobertson-5.cod 200 GET
2017-12-16 16:44:01.887 3.255371 0.000055 0 2329 blackberry/triage/Tour/Kobo.jad 200 GET
2017-12-16 16:44:00.886 5.990510 0.000105 0 80904 blackberry/triage/Tour/Kobo.cod 200 GET
2017-12-16 16:43:50.886 17.396538 0.000275 0 49720 blackberry/storm/BordersAU-11.cod 200 GET
2017-12-16 16:43:54.886 14.096253 0.000203 0 86084 blackberry/tour/shortcovers.cod 200 GET
2017-12-16 16:43:49.886 22.685076 0.000133 0 45600 blackberry/storm/BordersAU-10.cod 200 GET
2017-12-16 16:43:56.886 16.394934 0.000087 0 88232 blackberry/triage/421/Kobo-1.cod 200 GET
2017-12-16 16:44:06.886 11.106322 0.001684 0 152217 customer_care/downloads/Glo/kobo_glo_video_tutorial.pdf 200 GET
2017-12-16 16:44:08.886 14.404191 0.000157 0 149519 customer_care/downloads/Mini/kobo_mini_video_tutorial.pdf 200 GET
